Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'BLNG'
2024-06-17 12:37:15: Качаем свечи для акции 'BLNG' с таймфреймом D начиная с 2024-05-20 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции BLNG с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'BRZL'
2024-06-17 12:37:15: Качаем свечи для акции 'BRZL' с таймфреймом D начиная с 2024-05-20 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции BRZL с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'BSPB'
2024-06-17 12:37:15: Качаем свечи для акции 'BSPB' с таймфреймом D начиная с 2024-05-20 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции BSPB с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'BSPBP'
2024-06-17 12:37:15: Качаем свечи для акции 'BSPBP' с таймфреймом D начиная с 2024-05-20 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции BSPBP с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'CARM'
2024-06-17 12:37:15: Качаем свечи для акции 'CARM' с таймфреймом D начиная с 2024-05-20 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции CARM с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'CBOM'
2024-06-17 12:37:15: Качаем свечи для акции 'CBOM' с таймфреймом D начиная с 2024-05-20 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции CBOM с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'CHGZ'
2024-06-17 12:37:15: Качаем свечи для акции 'CHGZ' с таймфреймом D начиная с 2024-05-20 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции CHGZ с таймфреймом D. 
Продолжаем сбор данных.
